#time = 0.2
#left_edge = 0.0
#right_edge = 1.0
x,density,velocity_x,velocity_y,velocity_z,pressure,bfield_x,bfield_y,bfield_z
0.068359375,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.072265625,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.076171875,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.080078125,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.083984375,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.087890625,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.091796875,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.095703125,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.099609375,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.103515625,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.107421875,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.111328125,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.115234375,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.119140625,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.123046875,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.126953125,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.130859375,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.134765625,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.138671875,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.142578125,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.146484375,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.150390625,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.154296875,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.158203125,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.162109375,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.166015625,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.169921875,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.173828125,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.177734375,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.181640625,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.185546875,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.189453125,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.193359375,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.197265625,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.201171875,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.205078125,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.208984375,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.212890625,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.216796875,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.220703125,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
0.224609375,1.08,1.2,0.01,0.5,0.95,0.5641895835477563,1.0155412503859613,0.5641895835477563
